,IDfg,Name,Team,G,PA,OPS,Dol,Spd,Off,WAR,wRC+,Def,BsR
105,5827,Wilmer Flores,SFG,139,436,0.782,$10.0,2.8,3.4,1.2,113,-5.3,-4.0
116,9847,Andrew McCutchen,PHI,144,574,0.778,$9.8,3.9,6.8,1.2,107,-13.6,1.5
165,12160,Ben Gamel,- - -,122,400,0.735,$9.4,3.9,0.2,1.2,101,-1.6,-0.5
243,19844,Abraham Toro,- - -,95,375,0.688,$9.9,3.6,-2.5,1.2,95,2.0,-0.1
258,10200,Tucker Barnhart,CIN,116,388,0.685,$9.7,1.5,-9.4,1.2,81,8.6,-0.1
43,15279,Garrett Cooper,MIA,71,250,0.845,$8.7,2.9,6.7,1.1,134,-4.1,-4.0
195,18171,Seth Brown,OAK,111,307,0.754,$8.5,5.0,1.0,1.1,103,-0.9,0.0
157,8623,Donovan Solano,SFG,101,344,0.748,$8.9,2.7,2.0,1.1,105,-2.3,-0.2
200,2136,David Peralta,ARI,150,538,0.728,$8.7,4.6,-2.5,1.1,93,-4.4,2.0
205,11476,Odubel Herrera,PHI,124,492,0.726,$8.5,4.5,-4.2,1.1,93,-1.5,0.3
263,19294,Nick Solak,TEX,127,511,0.677,$8.9,4.3,-6.3,1.1,89,0.1,0.4
261,16221,Bradley Zimmer,CLE,99,348,0.669,$8.4,6.4,-2.8,1.1,89,1.5,2.0
335,8709,Elvis Andrus,OAK,146,541,0.614,$8.5,5.3,-13.8,1.1,72,6.0,4.5
346,16930,Jonah Heim,TEX,82,285,0.598,$8.5,2.8,-14.7,1.1,60,15.6,-0.9
130,12775,Brad Miller,PHI,140,377,0.774,$8.0,5.1,3.1,1.0,105,-5.5,0.6
151,18819,Andy Ibanez,TEX,76,272,0.756,$8.2,2.7,1.4,1.0,107,-0.4,-0.8
188,14111,Eric Haase,DET,98,381,0.745,$8.3,3.7,-0.8,1.0,100,-1.8,-0.7
219,10681,Gio Urshela,NYY,116,442,0.72,$7.8,2.8,-8.2,1.0,96,3.0,-6.0
239,10231,Jose Iglesias,- - -,137,511,0.701,$8.3,4.4,-6.1,1.0,91,-0.9,-0.2
242,19955,Gavin Lux,LAD,102,381,0.692,$8.2,5.6,-0.6,1.0,91,-1.8,3.8
270,20202,Brandon Marsh,LAA,70,260,0.673,$7.7,6.5,-1.0,1.0,86,1.8,3.5
287,7007,Yadier Molina,STL,121,473,0.667,$7.9,2.8,-15.4,1.0,83,9.6,-5.3
285,13499,Tom Murphy,SEA,97,325,0.655,$7.7,1.3,-5.3,1.0,87,3.9,-0.3
118,5452,Ji-Man Choi,TBR,83,305,0.758,$7.3,1.2,5.6,0.9,117,-6.9,-0.9
189,12155,Eddie Rosario,- - -,111,412,0.74,$7.2,5.1,0.2,0.9,98,-5.1,1.1
214,15937,Aledmys Diaz,HOU,84,319,0.721,$7.3,1.3,-3.3,0.9,99,1.5,-2.8
211,4418,Jed Lowrie,OAK,139,512,0.717,$6.8,1.3,-1.4,0.9,100,-7.5,-1.6
177,12325,Jace Peterson,MIL,94,302,0.714,$6.8,5.3,3.0,0.9,97,-4.5,4.3
99,19600,Bryan De La Cruz,MIA,58,219,0.783,$6.2,3.1,3.0,0.8,115,-2.4,-1.3
97,17710,Matt Beaty,LAD,120,234,0.765,$6.5,4.2,4.7,0.8,114,-4.3,0.4
183,10762,Corey Dickerson,- - -,109,365,0.734,$6.0,5.6,-1.4,0.8,100,-3.2,-1.3
167,16376,Michael Conforto,NYM,125,479,0.729,$6.5,2.0,2.4,0.8,106,-10.1,-1.4
300,12158,Austin Barnes,LAD,77,225,0.644,$6.2,3.2,-6.0,0.8,79,6.3,0.0
310,19950,Andres Gimenez,CLE,68,210,0.633,$6.2,6.2,-4.2,0.8,73,4.7,2.6
121,19966,Bobby Dalbec,BOS,133,453,0.792,$5.4,4.6,3.7,0.7,107,-12.3,-0.4
216,12861,Anthony Rendon,LAA,58,249,0.712,$5.2,1.0,-2.5,0.7,95,0.6,-1.1
268,12434,Kevin Pillar,NYM,124,347,0.692,$5.6,4.7,-3.6,0.7,90,-0.8,0.7
98,19913,Jesus Sanchez,MIA,64,251,0.808,$4.9,2.9,2.1,0.6,116,-4.2,-2.9
149,15149,Trey Mancini,BAL,147,616,0.758,$5.2,2.1,-1.8,0.6,105,-12.7,-5.3
192,11899,Joc Pederson,- - -,137,481,0.732,$4.4,3.4,-4.8,0.6,94,-5.5,-1.4
227,14551,Anthony Santander,BAL,110,438,0.72,$5.2,2.4,-3.3,0.6,92,-5.0,1.2
231,12552,Eugenio Suarez,CIN,145,574,0.713,$4.4,1.7,-15.0,0.6,85,1.6,-4.1
269,11902,Hanser Alberto,KCR,103,255,0.693,$4.5,5.4,-3.4,0.6,84,0.4,1.4
280,3298,Charlie Culberson,TEX,91,271,0.676,$4.5,5.5,-3.2,0.6,85,-0.4,1.9
282,7739,Travis d'Arnaud,ATL,60,229,0.671,$4.7,1.1,-7.5,0.6,78,5.8,-1.1
289,24618,Ryan Jeffers,MIN,85,293,0.67,$5.1,2.3,-8.9,0.6,82,5.3,-2.3
274,16375,Oscar Mercado,CLE,72,238,0.669,$4.5,5.7,-1.8,0.6,85,-0.7,2.7
288,12282,Rougned Odor,NYY,102,361,0.665,$5.1,2.0,-6.1,0.6,83,0.2,1.6
301,15402,Jack Mayfield,- - -,87,290,0.659,$4.7,4.3,-7.5,0.6,79,3.4,0.1
327,5517,Kyle Higashioka,NYY,67,211,0.635,$4.7,1.0,-9.2,0.6,71,7.9,-1.7
320,11400,Ronald Torreyes,PHI,112,344,0.632,$5.0,2.8,-12.7,0.6,68,7.7,1.3
322,12180,Jorge Alfaro,MIA,92,311,0.625,$5.1,4.7,-10.6,0.6,73,6.7,0.0
333,27506,Ha-seong Kim,SDP,117,298,0.622,$4.7,5.5,-9.9,0.6,70,6.0,1.4
340,16725,Jose Trevino,TEX,89,302,0.607,$5.0,1.8,-18.9,0.6,64,15.0,-5.5
123,17548,Taylor Ward,LAA,65,237,0.769,$4.3,2.8,2.8,0.5,111,-5.5,-0.4
180,17954,Sam Hilliard,COL,81,238,0.757,$4.2,6.6,-2.1,0.5,85,-0.5,2.5
141,16939,Lane Thomas,- - -,77,264,0.752,$4.3,5.3,0.5,0.5,103,-3.8,-0.7
161,19260,Jake Fraley,SEA,78,265,0.721,$3.7,3.9,3.7,0.5,109,-8.0,0.9
208,14320,Wilmer Difo,PIT,116,240,0.713,$3.7,4.5,-0.3,0.5,95,-3.0,1.4
224,12371,Tommy La Stella,SFG,76,242,0.713,$3.6,2.1,-3.0,0.5,94,-0.4,-1.1
271,15055,Dom Nunez,COL,81,263,0.692,$4.2,4.0,-8.4,0.5,69,4.9,1.8
241,15794,Yonathan Daza,COL,107,331,0.688,$4.4,3.4,-10.7,0.5,75,5.2,-0.3
255,15362,Jeff McNeil,NYM,120,426,0.679,$4.3,3.9,-5.1,0.5,93,-3.6,-1.1
283,17273,Jorge Mateo,- - -,89,209,0.67,$3.9,5.7,-2.8,0.5,83,0.6,1.9
284,14691,Harold Castro,DET,106,339,0.669,$4.4,2.9,-7.8,0.5,83,1.7,-0.5
295,19262,Garrett Hampson,COL,147,494,0.669,$3.9,7.2,-17.6,0.5,65,6.1,4.2
279,18721,Guillermo Heredia,ATL,120,347,0.665,$4.4,2.2,-6.3,0.5,79,0.3,3.1
292,12510,Curt Casali,SFG,77,231,0.663,$3.8,2.0,-5.4,0.5,82,2.5,-0.2
291,9774,Christian Vazquez,BOS,138,498,0.659,$4.0,3.9,-19.2,0.5,77,7.2,-5.3
307,12859,James McCann,NYM,121,412,0.643,$3.8,1.8,-13.8,0.5,80,4.9,-3.4
129,12164,Miguel Sano,MIN,135,532,0.778,$3.5,2.3,4.4,0.4,110,-18.1,-2.2
128,14811,Luke Voit,NYY,68,241,0.764,$3.6,2.1,0.4,0.4,111,-4.2,-2.9
175,4220,Ryan Zimmerman,WSN,110,273,0.756,$3.0,0.8,-2.8,0.4,97,-2.4,-1.8
225,15191,Chad Pinder,OAK,75,233,0.712,$3.2,4.2,-1.3,0.4,97,-2.6,-0.6
221,4579,Starlin Castro,WSN,87,346,0.708,$3.2,1.0,-6.5,0.4,90,-0.9,-2.1
