IDfg,Name,Team,G,PA,AVG,OBP,SLG,OPS,wRC+,WAR,Barrel%,HardHit%,GB%,FB%,HR/FB
5517,Kyle Higashioka,NYY,67,211,0.181,0.246,0.389,0.635,71,0.6,15.6,46.7,28.1,51.1,0.145
11400,Ronald Torreyes,PHI,112,344,0.242,0.286,0.346,0.632,68,0.6,0.4,13.8,46.2,33.5,0.076
12180,Jorge Alfaro,MIA,92,311,0.244,0.283,0.342,0.625,73,0.6,8.2,49.0,57.10000000000001,22.4,0.091
27506,Ha-seong Kim,SDP,117,298,0.202,0.27,0.352,0.622,70,0.6,4.5,31.8,41.4,41.4,0.098
16725,Jose Trevino,TEX,89,302,0.239,0.267,0.34,0.607,64,0.6,4.3,36.5,44.2,31.2,0.069
17548,Taylor Ward,LAA,65,237,0.25,0.332,0.438,0.769,111,0.5,10.3,39.7,36.5,37.8,0.14300000000000002
17954,Sam Hilliard,COL,81,238,0.215,0.294,0.463,0.757,85,0.5,15.0,38.6,43.7,38.1,0.292
16939,Lane Thomas,- - -,77,264,0.235,0.341,0.412,0.752,103,0.5,7.3,45.7,42.3,38.7,0.111
19260,Jake Fraley,SEA,78,265,0.21,0.352,0.369,0.721,109,0.5,6.2,33.6,39.3,34.5,0.18
14320,Wilmer Difo,PIT,116,240,0.269,0.329,0.384,0.713,95,0.5,4.2,22.9,43.8,37.0,0.067
12371,Tommy La Stella,SFG,76,242,0.25,0.308,0.405,0.713,94,0.5,6.1,33.0,43.3,36.1,0.1
15055,Dom Nunez,COL,81,263,0.189,0.293,0.399,0.692,69,0.5,9.4,31.2,32.1,49.6,0.147
15794,Yonathan Daza,COL,107,331,0.282,0.332,0.355,0.688,75,0.5,2.0,27.0,53.900000000000006,24.1,0.034
15362,Jeff McNeil,NYM,120,426,0.251,0.319,0.36,0.679,93,0.5,4.3,33.4,46.6,32.9,0.065
17273,Jorge Mateo,- - -,89,209,0.247,0.293,0.376,0.67,83,0.5,5.7,31.2,38.8,38.1,0.075
14691,Harold Castro,DET,106,339,0.283,0.31,0.359,0.669,83,0.5,3.2,38.5,40.7,25.6,0.048
19262,Garrett Hampson,COL,147,494,0.234,0.289,0.38,0.669,65,0.5,5.0,31.2,39.5,37.9,0.091
18721,Guillermo Heredia,ATL,120,347,0.22,0.311,0.354,0.665,79,0.5,4.0,34.7,42.4,34.8,0.064
12510,Curt Casali,SFG,77,231,0.21,0.313,0.35,0.663,82,0.5,5.9,31.1,31.6,47.4,0.079
9774,Christian Vazquez,BOS,138,498,0.258,0.308,0.352,0.659,77,0.5,2.6,30.9,40.7,37.8,0.042
12859,James McCann,NYM,121,412,0.232,0.294,0.349,0.643,80,0.5,6.1,40.7,51.5,28.6,0.133
12164,Miguel Sano,MIN,135,532,0.223,0.312,0.466,0.778,110,0.4,17.7,55.60000000000001,38.9,42.7,0.244
14811,Luke Voit,NYY,68,241,0.239,0.328,0.437,0.764,111,0.4,15.8,51.800000000000004,40.3,39.6,0.2
4220,Ryan Zimmerman,WSN,110,273,0.243,0.286,0.471,0.756,97,0.4,10.6,47.8,50.6,33.3,0.233
15191,Chad Pinder,OAK,75,233,0.243,0.3,0.411,0.712,97,0.4,16.3,54.2,48.4,30.7,0.128
4579,Starlin Castro,WSN,87,346,0.283,0.333,0.375,0.708,90,0.4,5.4,39.5,49.4,28.000000000000004,0.042
10243,Randal Grichuk,TOR,149,545,0.241,0.281,0.423,0.703,85,0.4,8.5,41.1,39.7,43.4,0.126
14350,Raimel Tapia,COL,133,533,0.273,0.327,0.372,0.699,76,0.4,2.1,31.5,67.4,16.4,0.087
17766,D.J. Stewart,BAL,100,318,0.204,0.324,0.374,0.698,94,0.4,9.4,34.3,35.2,49.2,0.136
14773,Yu Chang,CLE,89,251,0.228,0.267,0.426,0.693,85,0.4,7.1,33.7,35.5,43.2,0.12300000000000001
17278,Bobby Bradley,CLE,74,279,0.208,0.294,0.445,0.739,99,0.3,16.8,40.3,40.3,37.6,0.28600000000000003
19892,Pavin Smith,ARI,145,545,0.267,0.328,0.404,0.732,96,0.3,5.1,42.7,47.2,31.6,0.08900000000000001
15905,Luis Torrens,SEA,108,378,0.243,0.299,0.431,0.73,101,0.3,10.4,43.2,51.4,30.5,0.19699999999999998
20325,Alex Kirilloff,MIN,59,231,0.251,0.299,0.423,0.722,93,0.3,12.8,43.9,48.8,29.299999999999997,0.16699999999999998
26197,Andrew Vaughn,CHW,127,469,0.235,0.309,0.396,0.705,94,0.3,10.9,46.4,43.9,36.1,0.129
5222,Justin Upton,LAA,89,362,0.211,0.296,0.409,0.705,92,0.3,11.6,40.9,42.5,43.5,0.183
15487,Victor Reyes,DET,76,220,0.258,0.284,0.416,0.701,88,0.3,8.3,34.4,49.3,27.6,0.11900000000000001
13419,Christian Walker,ARI,115,445,0.244,0.315,0.382,0.696,87,0.3,6.4,41.1,39.1,38.7,0.087
19348,DJ Peters,- - -,70,240,0.197,0.242,0.422,0.663,71,0.3,11.1,38.9,38.9,48.6,0.18600000000000003
15654,Billy McKinney,- - -,116,300,0.192,0.28,0.358,0.638,73,0.3,6.4,33.5,37.2,43.1,0.111
16417,Sergio Alcantara,CHC,89,255,0.205,0.303,0.327,0.63,71,0.3,3.4000000000000004,32.9,46.3,34.0,0.1
4940,Jason Heyward,CHC,104,353,0.214,0.28,0.347,0.627,68,0.3,4.7,42.4,50.6,32.5,0.096
17992,David Fletcher,LAA,157,665,0.262,0.297,0.324,0.622,70,0.3,0.0,15.5,48.5,28.1,0.013000000000000001
17696,Kevin Newman,PIT,148,554,0.226,0.265,0.309,0.574,54,0.3,1.6,26.0,44.3,36.0,0.028999999999999998
19334,Yadiel Hernandez,WSN,112,289,0.273,0.329,0.413,0.742,98,0.2,5.8,38.2,54.400000000000006,22.8,0.191
17484,Eloy Jimenez,CHW,55,231,0.249,0.303,0.437,0.74,101,0.2,10.8,44.6,48.4,29.299999999999997,0.217
8418,Ehire Adrianza,ATL,109,209,0.247,0.327,0.401,0.728,94,0.2,2.8,32.6,40.8,35.9,0.098
12649,Alex Dickerson,SFG,111,312,0.233,0.304,0.42,0.725,97,0.2,10.1,38.2,35.7,41.5,0.151
12858,Brian Goodwin,CHW,72,271,0.221,0.319,0.374,0.693,94,0.2,6.1,31.8,36.5,37.6,0.11900000000000001
27459,Yoshi Tsutsugo,- - -,81,262,0.217,0.307,0.383,0.689,90,0.2,6.9,37.5,40.9,44.7,0.113
21501,Trevor Larnach,MIN,79,301,0.223,0.322,0.35,0.672,89,0.2,9.5,40.5,46.2,35.4,0.125
12037,Jon Berti,MIA,85,271,0.21,0.311,0.313,0.624,79,0.2,2.3,38.3,58.599999999999994,21.3,0.10800000000000001
18042,Dylan Moore,SEA,126,377,0.181,0.276,0.334,0.61,74,0.2,8.6,33.3,31.7,50.5,0.109
6887,Martin Maldonado,HOU,125,426,0.172,0.272,0.3,0.573,63,0.2,5.7,32.8,36.9,42.2,0.11699999999999999
17423,Yermin Mercedes,CHW,68,262,0.271,0.328,0.404,0.732,102,0.1,7.200000000000001,28.7,41.0,41.0,0.08800000000000001
14130,Daniel Vogelbach,MIL,93,258,0.219,0.349,0.381,0.73,101,0.1,8.2,48.7,44.3,35.4,0.161
15482,Aristides Aquino,CIN,84,204,0.19,0.299,0.408,0.707,83,0.1,14.899999999999999,39.6,28.7,53.5,0.185
10953,Phil Gosselin,LAA,104,373,0.261,0.314,0.362,0.676,87,0.1,3.4000000000000004,35.1,45.0,37.4,0.071
16337,Nick Gordon,MIN,73,216,0.24,0.292,0.355,0.647,77,0.1,6.800000000000001,46.6,52.1,26.0,0.105
5000,Stephen Vogt,- - -,78,238,0.195,0.283,0.333,0.616,64,0.1,5.1,35.3,33.8,47.4,0.096
12976,Austin Hedges,CLE,88,312,0.178,0.22,0.308,0.527,40,0.1,3.8,29.7,34.3,45.5,0.111
3516,Eric Hosmer,SDP,151,565,0.269,0.337,0.395,0.732,102,0.0,5.8,47.0,55.50000000000001,25.8,0.113
